Date;PhaseName;Rank;Medal;Person/Team;Country; ;Age (days);Result
12-ago-2012;Athletics Marathon Men - Olympic Games 2012;5;;Marilson dos Santos (BRA, 06 Aug 1977);Brazil;;35-006;2:11:10
12-ago-2012;Athletics Marathon Men - Olympic Games 2012;8;;Paulo Roberto Paula (BRA, 08 Jul 1979);Brazil;;33-035;2:12:17
12-ago-2012;Athletics Marathon Men - Olympic Games 2012;13;;Franck De Almeida (BRA, 06 Feb 1983);Brazil;;29-188;2:13:35
12-ago-2012;Basketball Team Men - Olympic Games 2012;5;;Brazil;Brazil;;29-177;
12-ago-2012;Boxing Flyweight Men - Olympic Games 2012;9;;Julião Henriques Neto (BRA, 16 Aug 1981);Brazil;;30-362;
12-ago-2012;Boxing Light Heavyweight Men - Olympic Games 2012;3;B;Yamaguchi Falcão (BRA, 24 Dec 1987);Brazil;;24-232;
12-ago-2012;Boxing Lightweight Men - Olympic Games 2012;17;;Robson Conceição (BRA, 25 Oct 1988);Brazil;;23-292;
12-ago-2012;Boxing Welterweight Men - Olympic Games 2012;17;;Myke Carvalho (BRA, 28 Oct 1983);Brazil;;28-289;
12-ago-2012;Modern Pentathlon Individual Women - Olympic Games 2012;3;B;Yane Marques (BRA, 07 Jan 1984);Brazil;;28-218;5340,00
12-ago-2012;Mountain Bike Cross Country Men - Olympic Games 2012;24;;Valeriano Rubens Donizeti (BRA, 14 Aug 1979);Brazil;;32-364;1:34:23
12-ago-2012;Volleyball Team Men - Olympic Games 2012;2;S;Brazil;Brazil;;30-268;
11-ago-2012;Athletics 4 x 100m Relay Men - Olympic Games 2012;9;;Brazil;Brazil;;26-337;38,35
11-ago-2012;Athletics 4 x 400m Relay Women - Olympic Games 2012;14;;Brazil;Brazil;;28-106;3:32.95
11-ago-2012;Basketball Team Women - Olympic Games 2012;9;;Brazil;Brazil;;27-106;
11-ago-2012;Boxing Bantamweight Men - Olympic Games 2012;5;;Robenilson de Jesus (BRA, 24 Sep 1987);Brazil;;24-322;
11-ago-2012;Boxing Light Welterweight Men - Olympic Games 2012;9;;Everton Lopes (BRA, 08 Aug 1988);Brazil;;24-003;
11-ago-2012;Boxing Middleweight Men - Olympic Games 2012;2;S;Esquiva Falcão (BRA, 12 Dec 1989);Brazil;;22-243;
11-ago-2012;Canoe Sprint C1 200m Men - Olympic Games 2012;12;;Ronilson Oliveira (BRA, 16 Jul 1990);Brazil;;22-026;44,59
11-ago-2012;Diving 10m Platform Men - Olympic Games 2012;30;;Hugo Parisi (BRA, 01 Aug 1984);Brazil;;28-010;363,70
11-ago-2012;Football Team Men - Olympic Games 2012;2;S;Brazil;Brazil;;22-157;
11-ago-2012;Handball Team Women - Olympic Games 2012;6;;Brazil;Brazil;;28-043;
11-ago-2012;Taekwondo Heavyweight +67kg Women - Olympic Games 2012;11;;Natália Silva (BRA, 09 May 1984);Brazil;;28-094;
11-ago-2012;Volleyball Team Women - Olympic Games 2012;1;G;Brazil;Brazil;;27-267;
10-ago-2012;Athletics 4 x 100m Relay Women - Olympic Games 2012;7;;Brazil;Brazil;;24-094;42,91
10-ago-2012;Athletics Pole Vault Men - Olympic Games 2012;NoM;;Fábio Gomes da Silva (BRA, 04 Aug 1983);Brazil;;29-006;
10-ago-2012;BMX Racing Individual Men - Olympic Games 2012;32;;Renato Rezende (BRA, 28 Feb 1991);Brazil;;21-164;
10-ago-2012;BMX Racing Individual Women - Olympic Games 2012;16;;Squel Stein (BRA, 09 Jul 1991);Brazil;;21-032;
10-ago-2012;Sailing 470 Women - Olympic Games 2012;6;;Oliveira Horn / Barbachan;Brazil;;27-115;75,00
09-ago-2012;Athletics 200m Men - Olympic Games 2012;13;;Bruno De Barros (BRA, 07 Jan 1987);Brazil;;25-215;20,55
09-ago-2012;Athletics 200m Men - Olympic Games 2012;16;;Aldemir Júnior (BRA, 08 Jun 1992);Brazil;;20-062;20,63
09-ago-2012;Athletics 200m Men - Olympic Games 2012;43;;Sandro Viana (BRA, 26 Mar 1977);Brazil;;35-136;21,05
09-ago-2012;Athletics 800m Men - Olympic Games 2012;19;;Fabiano Peçanha (BRA, 05 Jun 1982);Brazil;;30-065;1:46.29
09-ago-2012;Athletics 800m Men - Olympic Games 2012;DNS;;Kleberson Davide (BRA, 20 Jul 1985);Brazil;;27-020;
09-ago-2012;Athletics Decathlon Men - Olympic Games 2012;19;;Luiz Alberto de Araújo (BRA, 27 Jun 1987);Brazil;;25-043;7849,00
09-ago-2012;Athletics Javelin Throw Women - Olympic Games 2012;20;;Laila Silva (BRA, 30 Jul 1982);Brazil;;30-010;58,39
09-ago-2012;Athletics Triple Jump Men - Olympic Games 2012;25;;Jonathan Henrique Silva (BRA, 21 Jul 1991);Brazil;;21-019;15,59
09-ago-2012;Beach Volleyball Team Men - Olympic Games 2012;2;S;Emanuel / Alison;Brazil;;32-364;
09-ago-2012;Beach Volleyball Team Men - Olympic Games 2012;5;;Ricardo / Cunha;Brazil;;33-138;
09-ago-2012;Boxing Flyweight Women - Olympic Games 2012;9;;Erica Matos (BRA, 24 May 1983);Brazil;;29-077;
09-ago-2012;Boxing Lightweight Women - Olympic Games 2012;3;B;Adriana Araujo (BRA, 04 Nov 1981);Brazil;;30-279;
09-ago-2012;Boxing Middleweight Women - Olympic Games 2012;9;;Roselli Feitosa (BRA, 15 Mar 1989);Brazil;;23-147;
09-ago-2012;Canoe Sprint C2 1000m Men - Olympic Games 2012;10;;Oliveira / Souza;Brazil;;21-219;3:41.484
09-ago-2012;Equestrian - Dressage Individual Open - Olympic Games 2012;47;;Tavares de Almeida (Pastor);Brazil;;20-337;65,87
09-ago-2012;Football Team Women - Olympic Games 2012;6;;Brazil;Brazil;;27-134;
09-ago-2012;Open Water Swimming 10km Women - Olympic Games 2012;DNF;;Poliana Okimoto (BRA, 08 Mar 1983);Brazil;;29-154;
09-ago-2012;Taekwondo Featherweight 58-68kg Men - Olympic Games 2012;5;;Diogo Silva (BRA, 03 Jul 1982);Brazil;;30-037;
09-ago-2012;Wrestling - Freestyle 55kg Women - Olympic Games 2012;12;;Joice Souza Da Silva (BRA, 20 Jul 1983);Brazil;;29-020;
08-ago-2012;Athletics 200m Women - Olympic Games 2012;15;;Evelyn dos Santos (BRA, 11 Apr 1985);Brazil;;27-119;22,82
08-ago-2012;Athletics 200m Women - Olympic Games 2012;33;;Ana Claudia Lemos (BRA, 06 Nov 1988);Brazil;;23-276;23,40
08-ago-2012;Athletics 400m Hurdles Women - Olympic Games 2012;28;;Jailma de Lima (BRA, 31 Dec 1986);Brazil;;25-221;57,05
08-ago-2012;Athletics Long Jump Women - Olympic Games 2012;11;;Maurren Maggi (BRA, 25 Jun 1976);Brazil;;36-044;6,37
08-ago-2012;Beach Volleyball Team Women - Olympic Games 2012;3;B;Larissa / Juliana;Brazil;;29-250;
08-ago-2012;Beach Volleyball Team Women - Olympic Games 2012;9;;Talita / Antonelli;Brazil;;29-072;
08-ago-2012;Equestrian - Jumping Individual Open - Olympic Games 2012;12;;de Miranda (AD Rahmannshof's Bogeno);Brazil;;39-185;9,00
08-ago-2012;Equestrian - Jumping Individual Open - Olympic Games 2012;22;;Pessoa (HH Rebozo);Brazil;;39-253;17,00
08-ago-2012;Equestrian - Jumping Individual Open - Olympic Games 2012;45;;Reynoso Fernandez (Maestro St. Lois);Brazil;;32-176;50,00
08-ago-2012;Equestrian - Jumping Individual Open - Olympic Games 2012;71;;Motta Ribas (Wilexo);Brazil;;39-062;42,00
08-ago-2012;Table Tennis Team Men - Olympic Games 2012;9;;Brazil;Brazil;;33-316;
07-ago-2012;Artistic Swimming Duet Women - Olympic Games 2012;13;;Figueira / Teixeira;Brazil;;24-157;174,10
07-ago-2012;Athletics Discus Throw Men - Olympic Games 2012;41;;Ronald Julião (BRA, 16 Jun 1985);Brazil;;27-052;56,20
07-ago-2012;Athletics High Jump Men - Olympic Games 2012;16;;Guilherme Cobbo (BRA, 01 Oct 1987);Brazil;;24-311;2,21
07-ago-2012;Diving 3m Springboard Men - Olympic Games 2012;17;;César Castro (BRA, 02 Sep 1982);Brazil;;29-340;388,40
07-ago-2012;Gymnastics - Artistic Beam Women - Olympic Games 2012;23;;Daniele Hypólito (BRA, 08 Sep 1984);Brazil;;27-334;14,17
07-ago-2012;Gymnastics - Artistic Beam Women - Olympic Games 2012;48;;Ethiene Franco (BRA, 27 Apr 1992);Brazil;;20-102;13,00
07-ago-2012;Gymnastics - Artistic Beam Women - Olympic Games 2012;52;;Bruna Leal (BRA, 24 Apr 1993);Brazil;;19-105;12,80
07-ago-2012;Gymnastics - Artistic Beam Women - Olympic Games 2012;67;;Harumy De Freitas (BRA, 24 Jun 1995);Brazil;;17-044;12,03
07-ago-2012;Gymnastics - Artistic Floor Exercise Women - Olympic Games 2012;17;;Daiane Dos Santos (BRA, 10 Feb 1983);Brazil;;29-179;14,17
07-ago-2012;Gymnastics - Artistic Floor Exercise Women - Olympic Games 2012;43;;Bruna Leal (BRA, 24 Apr 1993);Brazil;;19-105;13,43
07-ago-2012;Gymnastics - Artistic Floor Exercise Women - Olympic Games 2012;50;;Ethiene Franco (BRA, 27 Apr 1992);Brazil;;20-102;13,17
07-ago-2012;Gymnastics - Artistic Floor Exercise Women - Olympic Games 2012;80;;Daniele Hypólito (BRA, 08 Sep 1984);Brazil;;27-334;11,90
07-ago-2012;Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2012;28;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-129;14,53
07-ago-2012;Gymnastics - Artistic Parallel Bars Men - Olympic Games 2012;17;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-129;15,20
07-ago-2012;Sailing RS:X Men - Olympic Games 2012;9;;Ricardo Santos (BRA, 08 May 1980);Brazil;;32-091;113,00
07-ago-2012;Sailing RS:X Women - Olympic Games 2012;13;;Patricia Freitas (BRA, 10 Mar 1990);Brazil;;22-150;110,00
07-ago-2012;Table Tennis Team Women - Olympic Games 2012;9;;Brazil;Brazil;;22-159;
07-ago-2012;Triathlon Olympic Distance Men - Olympic Games 2012;36;;Reinaldo Colucci (BRA, 29 Oct 1985);Brazil;;26-283;1:50:59
07-ago-2012;Triathlon Olympic Distance Men - Olympic Games 2012;44;;Diogo Sclebin (BRA, 06 May 1982);Brazil;;30-093;1:51:51
07-ago-2012;Weightlifting +105kg Men - Olympic Games 2012;11;;Fernando Reis (BRA, 10 Mar 1990);Brazil;;22-150;400,00
06-ago-2012;Athletics Pole Vault Women - Olympic Games 2012;14;;Fabiana Murer (BRA, 16 Mar 1981);Brazil;;31-143;4,50
06-ago-2012;Athletics Shot Put Women - Olympic Games 2012;6;;Geisa Arcanjo (BRA, 19 Sep 1991);Brazil;;20-322;19,02
06-ago-2012;Equestrian - Jumping Team Open - Olympic Games 2012;8;;Brazil;Brazil;;37-259;67,00
06-ago-2012;Gymnastics - Artistic Rings Men - Olympic Games 2012;1;G;Arthur Zanetti (BRA, 16 Apr 1990);Brazil;;22-112;15,90
06-ago-2012;Gymnastics - Artistic Rings Men - Olympic Games 2012;29;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-128;14,63
06-ago-2012;Gymnastics - Artistic Uneven Bars Women - Olympic Games 2012;54;;Daiane Dos Santos (BRA, 10 Feb 1983);Brazil;;29-178;12,97
06-ago-2012;Gymnastics - Artistic Uneven Bars Women - Olympic Games 2012;55;;Ethiene Franco (BRA, 27 Apr 1992);Brazil;;20-101;12,93
06-ago-2012;Gymnastics - Artistic Uneven Bars Women - Olympic Games 2012;56;;Daniele Hypólito (BRA, 08 Sep 1984);Brazil;;27-333;12,90
06-ago-2012;Gymnastics - Artistic Uneven Bars Women - Olympic Games 2012;64;;Bruna Leal (BRA, 24 Apr 1993);Brazil;;19-104;12,47
06-ago-2012;Sailing Laser Men - Olympic Games 2012;13;;Bruno Fontes (BRA, 25 Sep 1979);Brazil;;32-316;125,00
06-ago-2012;Sailing Laser Radial Women - Olympic Games 2012;25;;Adriana Kostiw (BRA, 16 Mar 1974);Brazil;;38-143;216,00
05-ago-2012;Athletics 100m Men - Olympic Games 2012;27;;Nilson André (BRA, 30 Jan 1986);Brazil;;26-188;10,26
05-ago-2012;Athletics 400m Women - Olympic Games 2012;25;;Joelma Sousa (BRA, 13 Jul 1984);Brazil;;28-023;52,69
05-ago-2012;Athletics 400m Women - Olympic Games 2012;29;;Geisa Coutinho (BRA, 01 Jun 1980);Brazil;;32-065;53,43
05-ago-2012;Athletics Marathon Women - Olympic Games 2012;46;;Adriana Aparecida Da Silva (BRA, 22 Jul 1981);Brazil;;31-014;2:33:15
05-ago-2012;Athletics Triple Jump Women - Olympic Games 2012;18;;Keila Costa (BRA, 06 Feb 1983);Brazil;;29-181;13,84
05-ago-2012;Diving 3m Springboard Women - Olympic Games 2012;28;;Juliana Veloso (BRA, 22 Dec 1980);Brazil;;31-227;241,15
05-ago-2012;Gymnastics - Artistic Floor Exercise Men - Olympic Games 2012;36;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-127;14,53
05-ago-2012;Gymnastics - Artistic Floor Exercise Men - Olympic Games 2012;59;;Diego Hypólito (BRA, 19 Jun 1986);Brazil;;26-047;13,77
05-ago-2012;Gymnastics - Artistic Pommel Horse Men - Olympic Games 2012;29;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-127;14,03
05-ago-2012;Sailing Finn Men - Olympic Games 2012;20;;Jorge Zarif (BRA, 30 Sep 1992);Brazil;;19-310;161,00
05-ago-2012;Sailing Star Men - Olympic Games 2012;3;B;Prada / Scheidt;Brazil;;40-059;40,00
05-ago-2012;Tennis Singles Men - Olympic Games 2012;33;;Thomaz Bellucci (BRA, 30 Dec 1987);Brazil;;24-219;
04-ago-2012;Athletics 20km Walk Men - Olympic Games 2012;37;;Caio Bonfim (BRA, 19 Mar 1991);Brazil;;21-138;1:24:45
04-ago-2012;Athletics 100m Women - Olympic Games 2012;12;;Rosângela Santos (BRA, 20 Dec 1990);Brazil;;21-228;11,17
04-ago-2012;Athletics Discus Throw Women - Olympic Games 2012;15;;Andressa de Morais (BRA, 21 Dec 1990);Brazil;;21-227;60,94
04-ago-2012;Athletics Long Jump Men - Olympic Games 2012;7;;Mauro Vinicius da Silva (BRA, 26 Dec 1986);Brazil;;25-222;8,01
04-ago-2012;Rowing Lightweight Double Sculls Women - Olympic Games 2012;13;;Beltrame / De Assis;Brazil;;28-321;7:41.43
04-ago-2012;Rowing Single Sculls Women - Olympic Games 2012;18;;Kissya Costa (BRA, 25 Jun 1982);Brazil;;30-040;
04-ago-2012;Swimming 4 x 100m Medley Relay Men - Olympic Games 2012;15;;Brazil;Brazil;;25-099;3:37.00
04-ago-2012;Swimming 50m Freestyle Women - Olympic Games 2012;22;;Graciele Herrmann (BRA, 01 Jan 1992);Brazil;;20-216;25,44
04-ago-2012;Tennis Doubles Men - Olympic Games 2012;5;;Soares / Melo;Brazil;;29-238;
04-ago-2012;Tennis Doubles Men - Olympic Games 2012;17;;Sá / Bellucci;Brazil;;29-337;
04-ago-2012;Triathlon Olympic Distance Women - Olympic Games 2012;30;;Pâmella Oliveira (BRA, 06 Oct 1987);Brazil;;24-303;2:04:02
03-ago-2012;Archery Individual Men - Olympic Games 2012;33;;Daniel Rezende Xavier (BRA, 31 Aug 1982);Brazil;;29-338;
03-ago-2012;Judo +78kg Women - Olympic Games 2012;5;;Maria Suelen Altheman (BRA, 12 Aug 1988);Brazil;;23-357;
03-ago-2012;Judo +100kg Men - Olympic Games 2012;3;B;Rafael Silva (BRA, 11 May 1987);Brazil;;25-084;
03-ago-2012;Rowing Single Sculls Men - Olympic Games 2012;19;;Anderson Nocetti (BRA, 05 Mar 1974);Brazil;;38-151;
03-ago-2012;Swimming 50m Freestyle Men - Olympic Games 2012;3;B;Cesar Cielo (BRA, 10 Jan 1987);Brazil;;25-206;21,59
03-ago-2012;Swimming 50m Freestyle Men - Olympic Games 2012;4;;Bruno Fratus (BRA, 30 Jun 1989);Brazil;;23-034;21,61
03-ago-2012;Swimming 100m Butterfly Men - Olympic Games 2012;28;;Kaio Almeida (BRA, 19 Oct 1984);Brazil;;27-289;53,14
03-ago-2012;Weightlifting 75kg Women - Olympic Games 2012;5;;Jaqueline Ferreira (BRA, 05 Mar 1987);Brazil;;25-151;230,00
02-ago-2012;Canoe Slalom K1 Women - Olympic Games 2012;16;;Ana Satila (BRA, 13 Mar 1996);Brazil;;16-142;110,83
02-ago-2012;Gymnastics - Artistic Individual All-Around Women - Olympic Games 2012;36;;Bruna Leal (BRA, 24 Apr 1993);Brazil;;19-100;52,77
02-ago-2012;Gymnastics - Artistic Individual All-Around Women - Olympic Games 2012;37;;Daniele Hypólito (BRA, 08 Sep 1984);Brazil;;27-329;52,73
02-ago-2012;Gymnastics - Artistic Individual All-Around Women - Olympic Games 2012;38;;Ethiene Franco (BRA, 27 Apr 1992);Brazil;;20-097;52,67
02-ago-2012;Judo 78kg Women - Olympic Games 2012;3;B;Mayra Aguiar (BRA, 03 Aug 1991);Brazil;;20-365;
02-ago-2012;Judo 100kg Men - Olympic Games 2012;9;;Luciano Corrêa (BRA, 25 Nov 1982);Brazil;;29-251;
02-ago-2012;Shooting Double Trap Men - Olympic Games 2012;17;;Filipe Fuzaro (BRA, 05 Dec 1982);Brazil;;29-241;131,00
02-ago-2012;Swimming 100m Freestyle Women - Olympic Games 2012;26;;Dainara de Paula (BRA, 25 Jul 1989);Brazil;;23-008;55,94
02-ago-2012;Swimming 200m Backstroke Men - Olympic Games 2012;13;;Leonardo de Deus (BRA, 18 Jan 1991);Brazil;;21-197;1:58.14
02-ago-2012;Swimming 200m Individual Medley Men - Olympic Games 2012;4;;Thiago Pereira (BRA, 26 Jan 1986);Brazil;;26-189;1:56.74
02-ago-2012;Swimming 200m Individual Medley Men - Olympic Games 2012;12;;Henrique Rodrigues (BRA, 04 Feb 1991);Brazil;;21-180;1:59.58
02-ago-2012;Table Tennis Singles Men - Olympic Games 2012;49;;Hugo Hoyama (BRA, 09 May 1969);Brazil;;43-085;
02-ago-2012;Table Tennis Singles Men - Olympic Games 2012;49;;Gustavo Tsuboi (BRA, 31 May 1985);Brazil;;27-063;
01-ago-2012;Cycling - Road Individual time trial Men - Olympic Games 2012;26;;Magno Nazaret (BRA, 17 Jan 1986);Brazil;;26-197;55:50.77
01-ago-2012;Cycling - Road Individual time trial Women - Olympic Games 2012;18;;Clemilda Fernandes (BRA, 25 Jun 1979);Brazil;;33-037;41:25.39
01-ago-2012;Fencing Individual Epee Men - Olympic Games 2012;28;;Athos Schwantes (BRA, 13 Feb 1985);Brazil;;27-170;
01-ago-2012;Gymnastics - Artistic Individual All-Around Men - Olympic Games 2012;10;;Sergio Sasaki (BRA, 31 Mar 1992);Brazil;;20-123;88,97
01-ago-2012;Judo 70kg Women - Olympic Games 2012;17;;Maria Portela (BRA, 14 Jan 1988);Brazil;;24-200;
01-ago-2012;Judo 90kg Men - Olympic Games 2012;5;;Tiago Camilo (BRA, 24 May 1982);Brazil;;30-069;
01-ago-2012;Shooting 25m Pistol Women - Olympic Games 2012;39;;Ana Luiza Souza Lima (BRA, 26 Dec 1973);Brazil;;38-219;560,00
01-ago-2012;Swimming 100m Freestyle Men - Olympic Games 2012;6;;Cesar Cielo (BRA, 10 Jan 1987);Brazil;;25-204;47,92
01-ago-2012;Swimming 100m Freestyle Men - Olympic Games 2012;24;;Nicolas Oliveira (BRA, 04 Aug 1987);Brazil;;24-363;49,51
01-ago-2012;Swimming 200m Breaststroke Men - Olympic Games 2012;9;;Tales Cerdeira (BRA, 21 Jan 1987);Brazil;;25-193;2:09.77
01-ago-2012;Swimming 200m Breaststroke Men - Olympic Games 2012;19;;Henrique Barbosa (BRA, 05 Jul 1984);Brazil;;28-027;2:12.05
01-ago-2012;Swimming 200m Butterfly Women - Olympic Games 2012;26;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-094;2:13.17
01-ago-2012;Table Tennis Singles Women - Olympic Games 2012;49;;Ligia Silva (BRA, 06 Mar 1981);Brazil;;31-148;
01-ago-2012;Table Tennis Singles Women - Olympic Games 2012;49;;Caroline Kumahara (BRA, 27 Jul 1995);Brazil;;17-005;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;42;;Fonseca (Tom Bombadill Too);Brazil;;39-052;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;44;;Tosi (Eleda All Black);Brazil;;42-352;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;46;;Carvalho Jorge (Josephine MCJ);Brazil;;37-185;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;EL;;Fofanoff (Barbara TW);Brazil;;;
31-jul-2012;Equestrian - Eventing Team Open - Olympic Games 2012;9;;Brazil;Brazil;;40-297;295,20
31-jul-2012;Fencing Individual Foil Men - Olympic Games 2012;32;;Guilherme Toldo (BRA, 01 Sep 1992);Brazil;;19-334;
31-jul-2012;Gymnastics - Artistic Team Women - Olympic Games 2012;12;;Brazil;Brazil;;22-293;161,30
31-jul-2012;Judo 63kg Women - Olympic Games 2012;17;;Mariana Silva (BRA, 22 Feb 1990);Brazil;;22-160;
31-jul-2012;Judo 81kg Men - Olympic Games 2012;7;;Leandro Guilheiro (BRA, 07 Aug 1983);Brazil;;28-359;
31-jul-2012;Swimming 200m Butterfly Men - Olympic Games 2012;17;;Kaio Almeida (BRA, 19 Oct 1984);Brazil;;27-286;1:56.99
31-jul-2012;Swimming 200m Butterfly Men - Olympic Games 2012;21;;Leonardo de Deus (BRA, 18 Jan 1991);Brazil;;21-195;1:58.03
31-jul-2012;Swimming 200m Individual Medley Women - Olympic Games 2012;15;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-093;2:14.74
30-jul-2012;Judo 57kg Women - Olympic Games 2012;9;;Rafaela Silva (BRA, 24 Apr 1992);Brazil;;20-097;
30-jul-2012;Judo 73kg Men - Olympic Games 2012;9;;Bruno Mendonca (BRA, 04 Apr 1985);Brazil;;27-117;
30-jul-2012;Swimming 100m Backstroke Men - Olympic Games 2012;28;;Daniel Orzechowski (BRA, 01 Jun 1985);Brazil;;27-059;55,16
30-jul-2012;Swimming 100m Backstroke Women - Olympic Games 2012;24;;Fabiola Molina (BRA, 22 May 1975);Brazil;;37-069;1:01.40
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;23;;Clemilda Fernandes (BRA, 25 Jun 1979);Brazil;;33-034;3:35:56
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;DNF;;Janildes Fernandes (BRA, 23 Aug 1980);Brazil;;31-341;
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;OTL;;Fernanda Souza (BRA, 15 Nov 1981);Brazil;;30-257;3:50:50
29-jul-2012;Fencing Individual Sabre Men - Olympic Games 2012;22;;Renzo Agresta (BRA, 27 Jun 1985);Brazil;;27-032;
29-jul-2012;Judo 52kg Women - Olympic Games 2012;9;;Érika Miranda (BRA, 04 Jun 1987);Brazil;;25-055;
29-jul-2012;Judo 66kg Men - Olympic Games 2012;17;;Leandro Cunha (BRA, 13 Oct 1980);Brazil;;31-290;
29-jul-2012;Shooting 10m Air Pistol Women - Olympic Games 2012;43;;Ana Luiza Souza Lima (BRA, 26 Dec 1973);Brazil;;38-216;367,00
29-jul-2012;Swimming 4 x 100m Freestyle Relay Men - Olympic Games 2012;9;;Brazil;Brazil;;25-188;3:16.14
29-jul-2012;Swimming 100m Breaststroke Men - Olympic Games 2012;12;;Felipe França (BRA, 14 May 1987);Brazil;;25-076;1:00.01
29-jul-2012;Swimming 100m Breaststroke Men - Olympic Games 2012;13;;Felipe Lima (BRA, 05 Apr 1985);Brazil;;27-115;1:00.08
29-jul-2012;Swimming 100m Butterfly Women - Olympic Games 2012;33;;Dainara de Paula (BRA, 25 Jul 1989);Brazil;;23-004;1:00.14
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;32;;Murilo Fischer (BRA, 16 Jun 1979);Brazil;;33-042;5:46:37
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;DNF;;Magno Nazaret (BRA, 17 Jan 1986);Brazil;;26-193;
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;DNF;;Gregory Panizo (BRA, 12 May 1985);Brazil;;27-077;
28-jul-2012;Judo 48kg Women - Olympic Games 2012;1;G;Sarah Menezes (BRA, 26 Mar 1990);Brazil;;22-124;
28-jul-2012;Judo 60kg Men - Olympic Games 2012;3;B;Felipe Kitadai (BRA, 28 Jul 1989);Brazil;;23-000;
28-jul-2012;Swimming 400m Individual Medley Men - Olympic Games 2012;2;S;Thiago Pereira (BRA, 26 Jan 1986);Brazil;;26-184;4:08.86
28-jul-2012;Swimming 400m Individual Medley Women - Olympic Games 2012;DNS;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-090;
;;;;;;;;
Selection Status:;;;;;;;;
Year: 2012;;;;;;;;
Country: Brazil;;;;;;;;
CompetitionSet: Summer Games;;;;;;;;
